Galatac	English / French	Part of Speech	Source	Notes (original parenthesis data)
adwatuc	oracle shrine			
au	away from			
es	out of			
es	from			
augar	to defend	verb		verbally; “away-shout”
augarac	defensive	verb		verbally
augariat	defender	verb		verbally
augaru	defence	verb		verbal
aunu	time			Fr. fois, concise moment in time, e.g. “two times”
aun	occasion			
auni	to occasion	verb		to cause something to happen
auniat	occasioner			
aunan	occasioning	noun		noun
gweraun	opportunity		derivation / compound	gwer + aun, “on-occasion”
gwerauni	to opportune	verb		
gwerauniat	opportunist			
gweraunan	opportuning	noun		noun
gweraunait	opportunism			
aunac	occasional			
aus	ear			
ausan	listening	noun		noun
ausa	to listen	verb		
ausaiat	listener			
autaitol	arrangement			
autai	to arrange	verb	derivation / compound	au + tai, “away-from-touch”, DLG 2003, p. 62
sutai	to tidy up	verb	derivation / compound	su + tai, “good-touch”
sutaiat	tidier			person who tidies up
sutaitol	tidying up	noun		noun
sutaiac	tidy			
dutai	to make a mess	verb	derivation / compound	 du + tai, “bad-touch”
dutaitol	mess			
dutaiat	person who makes a mess			
autaiat	arranger			
tai	to touch	verb		< tag-, DLG 2003, p. 62
taitol	touch			
taiat	toucher			
awa	granddaughter			
aval	apple			
avalu	apple tree			
avalon	apple grove		derivation / compound	aval + -on, “apple-forest”, cf. Gaul. bagona “beech forest”, bag- + -on
avat	product			
avan	deed			
avanc	waterspirit			
avonic	person of the river			cf. arworic, “person of the coast” < aremorici
avesa	to accustom	verb	derivation / compound	a + bes + a, “to-custom-ise”
avesaiat	accustomer			
avesan	accustoming	noun		noun
aviat	maker			
aviat	doer			
avo	to make	verb		
avo	to do	verb		
avon	river			
avonal	creek		derivation / compound	avon + -al, “river-let”
avotu	made			
avotu	done			
aureituvoi	to break the law	verb		ab-reitu-boi, “away [from]-law-break”, < Gaul. abrectubogi, “breaker of laws”, DLG 2003, p. 255; substitution of irregular prefix ab- for regular prefix au-; cf. abrextubogios, Chartres inscription, Stifter et al. 2013
aureituvoiat	lawbreaker			
aureituvoitol	lawbreaking			
aureit	outlaw			
aureiti	to outlaw	verb		
aureitiat	outlawer			
aureitan	outlaw declaration			
aureitac	illegal			
aureitacas	illegality			
coreitaun	law-enforcer			
coreitaun	sheriff			
selgiat aureit	outlaw-hunter			
awu	grandson			
augnat	grandchild		derivation / compound	au + gnat, “away-child”, cf. auo, aua
awiti	to desire	verb		
awitian	desire			
awitiat	desirer			
awan	watercourse			
badan	flood			
badi	to flood	verb		
badiat	flooder			
badit	waterlily			
bagan	combat			
baga	to combat	verb		
bagac	belligerent			
bagacas	belligerence			
bagaud	combatant			
canbagan	affliction		derivation / compound	can + bagan, “with-combat”, cf. MW. kymwy, id.
canbaga	to afflict	verb		
