Galatac	English / French	Part of Speech	Source	Notes (original parenthesis data)
gwisunacas	sophistication			
gwisurgaru	sophistry		derivation / compound	gwisu + urgaru, “wisdom-argument”, use of false arguments to deceive; -uu- > -u-
gwisurgar	to use sophistry	verb		to use false arguments to deceive
gwisurgariat	sophist			one who uses false arguments to decieve
erbasc	complex		derivation / compound	er + basc, “all-around-plait”; cf. L. complexus/complect-, “surrounding-plait”
erbascas	complexity			
erbasci	to elaborate	verb		
erbasciat	elaborator			
erbascan	elaboration			
borbor	bubble		derivation / compound	bor + bor, imitative of sound of hot spring, Gaul. boru-, cf. OFr. borboter
borbori	to bubble	verb		
borborac	bubbly			
borboriat	bubbler			
iurt	yurt			loanword
boret	motor		derivation / compound	bor + -et, “move-er”; cf. L. motor, id.
teivoret	motor home			
borac	mobile		derivation / compound	bor + -ac, “moving-like”
teivorac	mobile home			
teigwoi	transportable house		derivation / compound	tei + gwoi, “house-transporting”
auran	apart		derivation / compound	au + ran, “away-part”; cf. Fr. appartement, It. apartimento
auranas	apartness			
auranait	apartheid			
auranu	apartment			
divor	to hesitate	verb	derivation / compound	di + bor, “not-move”
divoru	hesitattion			
divoriat	hesitater			
esbor	to paralyse	verb	derivation / compound	es + bor, “without-move”
esboriat	paralyser			
esboru	paralysis			
suvris	to pause	verb	derivation / compound	su + bris, “good-breaking”, cf. Ir. briseadh “to pause, break”
suvrisan	pause			
suvrisiat	pauser			
arstam e-sue	to stop himself	verb		
uswari	to grow up	verb	derivation / compound	us + mari, “up-grow”; cf. Ir. fás suas, fás aníos, id.
uswaran	upgrowing	noun		noun
usber	to bring up	verb	derivation / compound	to raise children; us + ber, “up-carry”
usberu	upbringing	noun		noun
usberiat	upbringer			parent/guardian
entarugri	to interact	verb	derivation / compound	entar + ugri, “between-act”
entarugrac	interactive			
entarurgracas	interactivity			
entarugran	interaction			
entarugriat	interactor			participant in interaction
nesdati	to appose	verb	derivation / compound	nes + dati, “near-put”, to put near; cf. Ir. comhaisneis, apposition; L. appositio, id. < apponere “to put near”
nesdatan	apposition			cf. Ir. comhaisneis, id; L. appositio, id.
nesdatiat	appositioner			
ganac nesdatan	genitive of apposition			
ganac	genitive		derivation / compound	gan + -ac, “generate-like”; cf. L. genitivus, id. < gignere “to beget”
ulidu	banquet			Delamarre 2003, p. 324, "festin, banquet", cf. OIr. fled, Ir. flea, W. gwledd, id.
Domenica	Domenica			
Totait Domenicid	Domenican Republic			
Antigwa & Berwuda	Antigua & Bermuda			
dumunu	netherworld			world under the surface of the earth
trinu	triad		derivation / compound	“something made of three”, tri “three” + -nu substantivising suffix
trian	threesome		derivation / compound	tri + an, “three-thing”
raimonac	gorgeous		derivation / compound	raimon + -ac, “throat-like”; cf. OFr. gorgias “necklace”< gorge “throat”
raimonacas	gorgeousness			
Cambodia	Cambodia			
Camerun	Cameroon			
Levanon	Lebanon			
Mali	Mali			
Malta	Malta			
Inise Caiman	Cayman Islands			
Albania	Albania			
Algeria	Algeria			
sulec	lean	noun	derivation / compound	noun; tilt at an angle; su + lec, “good-slant”
sulechi	to lean	verb		
sulechiat	leaner			
sulechan	leaning	noun		noun
cluian	client		derivation / compound	clui + -an, “hear-ing”, < Gaul. *cluianto, cf. caranto, namanto; cf. L. client- < cluens “one who is hearing” < cluere “to hear, to heed”
cluianloi	clientele			
slanas	hello			“health”, wellwishing > greeting upon coming or going
acrid	all right		derivation / compound	a + crid, “to-heart”; cf. Fr. d’accord, id.
acridi	to accord	verb		
acridiat	accorder			
acridan	accord			
acridol	chord			musical chord
apeni	to appoint	verb	derivation / compound	a + pen “to-head”, placing something or someone at the head/top of something; cf. W. pennodi, O. Fr. à point “at-point”
apenan	appointment			
apeniat	appointer			
ambisni	to concern	verb	derivation / compound	ambi + sni, “around-contort”; cf. Ir. imní < O. Ir. im-snim “about-twisting”
ambisnion	concern			
ambisniat	concerner			
sni	to contort	verb		Lambert in DLG 2003 p. 277, “to twist, to spin, to torture”
snion	contortion			
sniat	contorter			
tolis	tribute			< Tolistobogii, Delamarre 2003, p. 298, etymology uncertain, cf. O. Ir. tol “will, desire”
tol	fee			
tolu	toll			
tolisa	to tribute	verb		
tolisaiat	tributer			
tolisan	tributing	noun		noun
toli	to charge fees	verb		
toliat	fee charger			
tolan	fee-charging	noun		noun
tolwi	to charge toll	verb		
tolwiat	toll charger			
tolwian	toll-charging	noun		noun
dutol	extortion			
dutoliat	extorter			
dutoli	to extort	verb		
dutolan	extorting	noun		noun
sutol	tip			extra money given for good service
sutoli	to tip	verb		
sutoliat	tipper			
sutolan	tipping	noun		noun
divis	not-be		derivation / compound	di + bis, “un-be”, general expression of disagreement, disapproval or refusal
sulisa	to fascinate	verb		DLG 2003, p. 202; cf. W. llygad-dynnu, id.
sulisan	fascination			
sulisaiat	fascinator			
sulisac	fascinating	adjective		adjective
urac	contrary		derivation / compound	ur + -ac, “against-like”; cf. L. contrarius < contra, id.
uracas	contrariness			
casat	intrigue			“curled thing”; cf. Ir. casta, “intrigue”, past part. < cass “to curl”
casati	to intrigue	verb		
casatiat	intriguer			
casatan	intriguing	noun		noun
casatac	intriguing	adjective		adjective
casac	curly			
casa	to curl	verb		
casaiat	curler			
casatol	curling	noun		noun
casu	twirl			
caswi	to twirl	verb		
caswiat	twirler			
caswian	twirling	noun		noun
caswiac	intricate			
caswiacas	intricacy			
tecal	trophy		derivation / compound	tec + al, “beautiful-small”; cf. Ir. áilleag, id.
sentunal	alley		derivation / compound	sentu + -nal, “small path”, n-enlargement after vowel
lergal	mark		derivation / compound	lerg + -al, “trace-small”; cf. Ir. lorg, id.
livir lergal	note book			
India	India			
Indonesia	Indonesia			
gwertanal	little turn			
rotuc boc	mouth harp			“harp mouth”
gwirwarcait	behaviour		derivation / compound	gwir + marc + -ait, “man-horse-ness”, > “man being like a horse”; cf. W. marchwriaeth, id.
gwirwarci	to behave	verb		
gwirwarciat	behaver			
tegwarc	very beautiful		derivation / compound	tec + marc, "beautiful-horse" > “as beautiful as a horse”, *-cw- > -gw-; cf. W. marchdeg, id.
nertwarc	great strength		derivation / compound	nert + marc, "strength-horse"
motwarc	great fuck		derivation / compound	mot + marc, "fuck-horse”" > "fuck like a horse” [stallion]
Dosbir	Short-Arm		derivation / compound	dos + bir
Answada	Bitter-One		derivation / compound	answad + a, suffix –a marking female name
escos	legless			very drunk
esaged	faceless			“off his face”, very drunk
arwentu	chin		derivation / compound	ar + mentu, “before-jaw”; cf. Gaul. araus “before-ear”> temple
dutruni	to snort	verb	derivation / compound	du + trun, “bad-nose”
dutruniat	snorter			
dutrunan	snort			
entruni	to sniff	verb	derivation / compound	en + trun, “in-nose”
entruniat	sniffer			
entrunan	sniffing	noun		noun
urboi	to shock	verb	derivation / compound	ur + boi, “against-hit”; cf. OFr. chocuer “strike against”
urboitol	shock			
urboiat	shocker			
urboian	shocking			
urboiac	shocking	adjective		adjective
bortarti	to wipe	verb	derivation / compound	bor + tarti, “move + dry”; cf. W. sychu “to wipe” < “to dry”
bortartiat	wiper			
bortartan	wipe	noun		noun
gwesa	to deign	verb		to consider worthy
gwesaiat	deigner			
digwesa	to disdain	verb		to consider unworthy
digwesan	disdain			
digwesaiat	disdainer			
escernu	contempt		derivation / compound	 es + cernu, “without-horn”; cf. VL. excornare “to break off someone’s horns” > to disgrace, to treat with contempt
escerna	to treat with contempt	verb		
escernaiat	one who treats with contempt			
longucro	bloodvessel		derivation / compound	longu + cro, “vessel-blood”
cadol	candle			“glisten-thing”; cf. L. candere < candid “white, glisten”
colerg	calque		derivation / compound	co + lerg, “with-trace”, cf. L. calcare “to trace, to copy”
colerge	to calque	verb		to produce a calque
colerget	calquer			producer of a calque
colergen	production of a calque			
urspantu	counter statement		derivation / compound	ur + spantu, “against-statement”
canspantu	joint statement		derivation / compound	con + spantu, “with-statement”
gwodelge	to assume	verb	derivation / compound	gwo + delge, “under-hold”; cf. L. ad-sub-mere “towards-under-take”
dataun	thesis		derivation / compound	dat + -aun, suffix of agency; cf. Gr. thesis < tithemi + -tis, to place + suffix of agency
urdataun	antithesis			
candataun	synthesis			
candati	to synthesise	verb		
candatiat	synthesiser			
candatac	synthetic			
canpantu	sympathy		derivation / compound	can + pantu, “with-suffering”; cf. Gr. sym-pathos, id.
canpantunac	sympathetic			
canpanta	to sympathise	verb		
canpantaiat	sympathiser			
canpantan	sympathising	noun		noun
urpantu	antipathy		derivation / compound	ur + pantu, “against-suffering”
urpantunac	antipathetic			
gwirotac	genuine		derivation / compound	gwirot + -ac, “truth-like”; cf. W. gwrioneddol, Ir. fíor, id.
gwirotacas	genuineness			
anwaru	undead			
gwitul	fiddle			< L. vitula > fiddle, viola, violin
Liveria	Liberia			
Livia	Libya			
Numidia	Libya			
Gwiana	Guyana			
liac	supple		derivation / compound	li + -ac, “lying-down-like”; cf. Ir. ligthe, id.
liacas	suppleness			
catin	feline		derivation / compound	cat + -in, “cat-like”; cf. L. felinus, id.; adjectival suffix –in for animal qualities
scuvul mor	osprey		derivation / compound	scuvul + mor, “hawk-sea”
ratol	grace			< ratu “fortune”; cf. W. rhad
ratolwar	graceful			
ratolwaras	gracefulness			
bosboi	to clap	verb	derivation / compound	bos + boi, “palm-hit”; cf. Ir. bualadh bos, id.
bosboiat	clapper			
bosboitol	clap			
suvosboi	to applaud	verb		
suvosboiat	applauder			
suvosboitol	applause			
gwertal	swirl		derivation / compound	gwert- + -al, “turn-small”; cf. W. troelliad
gwertali	to swirl	verb		
gwertaliat	swirler			
gwertalan	swirling	noun		noun
drilten	spark		derivation / compound	 dril + ten, “scrap-fire”; cf. Ir. dril, drithle, id., maybe not related; Gaul. dril, “scrap of material”, dial. Fr., Lambert 2003, p. 197
drilteni	to spark	verb		
drilteniat	sparker			
driltenan	sparking	noun		noun
uslanci	to launch	verb	derivation / compound	us + lanci, “high-lance”
uslancan	launch			
uslanciat	launcher			
dertin	concubine			DLG p. 240 ‘oipommio”
derti	to strip	verb		naked
dertiat	stripper			
dertan	stripping	noun		noun; striptease
tregdert	barefoot		derivation / compound	treg + dert, “foot-skin”
tregderti	to go barefoot	verb		
tregdertan	barefooting	noun		noun
tregdertiat	barefooter			
losbor	to wag	verb	derivation / compound	los + bor, “tail-move”
losboriat	wagger			
losboran	wag			
biuni	to twitch	verb	derivation / compound	biu + -ni, “alive-ing”; cf. Ir. biog < bidcet < *beo “alive”
biuniat	twitcher			
biunan	twitch			
sutruni	to hum	verb	derivation / compound	su + truni, “good-snore”; cf. W. chwyrnu “hum, snarl, snore”
sutruniat	hummer			
sutrunan	hum			
meld	mild			< meldios, meldi “agreeable one(s)”; cf. C. Gwinn pers. comm. 2020
meldas	mildness			
Americ	America			
caman	street			
caman	road			
caman	way			
barnu trean	criminal judgement		derivation / compound	barnu + trean, “crime-judgement”
canbriti	to consult	verb	derivation / compound	can + briti, “with-minding”, cf. Ir. breathnaigh “to consult”
canbritiat	consultant			
canbritan	consultation			
canbritait	consultancy			
urbata	to clash	verb	derivation / compound	ur + bata, “against-fight”, cf. W. gwrthdaro, “against-hit”
urbatan	clash			
urbataiat	clasher			
duvedol	thistle		derivation / compound	du + bedol, “bad-burr”
diligol	duty		derivation / compound	dilig- + -ol, “binding”; cf. W. dylw, dylu, dylid; Ir. dualgas, id.
diligolwar	dutiful			
diligolwaras	dutifulness			
aritalbis	keyboard		derivation / compound	arital + bís, "board-finger"; cf. Ir. méarchlar
gwip	sprint			< uipo- < Tascouipus, Chartres inscription, Repansek 2013; cf. W. gwib, id.
gwipi	to sprint	verb		
gwipiat	sprinter			
gwipac	instant	adjective		adjective; very quick, immediate
gwipacas	instantness			
gwipid	instantaneous			
gwipu	instant	noun		noun; a fraction of time
tasgwip	assault		derivation / compound	tasc + gwip, “badger-sprint”, -scgw- > -sgw- < Tascouipus, Charters inscr., Repansek 2013
tasgwipiat	assaulter			
tasgwipi	to assault	verb		
lambor	to beckon	verb	derivation / compound	lam + bor, “hand-move”
lamboriat	beckoner			
lamboru	hand signal			
lamboran	beckoning	noun		noun
lamborwi	to gesture	verb		
lamborwiath	gesturer			
lamborwian	gesture			
boran	motion			
borani	to motion	verb		
boraniat	motioner			
sutorci	to writhe	verb	derivation / compound	su + torci, “good-twist”
sutorciat	writher			
sutorcan	writhing	noun		noun
gwerin	league			organisation; DLG 2003, p. 307
coilu	waist			“narrow thing”; cf. Ir. caol, id.
croswal	ripple		derivation / compound	crosu + -al, “wave-let”, -ua- > -wa-; cf. W. crych, id.
croswali	to ripple	verb		
croswaliat	rippler			
croswalan	rippling	noun		noun
acen	slit		derivation / compound	ac + -en, “edge-thing”; cf. W. agen, id.
aceni	to slit	verb		
aceniat	slitter			
acenan	slitting	noun		noun
cereni	to bulge	verb		
cereniat	bulger			
cerenu	bulging	noun		noun
cerencos	calf		derivation / compound	lower part of the leg; ceren + cos, “leg-bulge”; cf. W. croth coes, id.
cernuvoi	to pulsate	verb	derivation / compound	cernu + boi, “horn-beat”
cernuvoitol	pulsation			
cernuvoiat	pulsator			
suvoi	to beat	verb		rhythmically for music
suvoitol	beat			musical
suvoiat	beater			musical beat setter
Ciprus	Cyprus			
Totait Sec	Czech Republic			
Siria	Syria			
caiuni	to moor	verb	derivation / compound	caiu + -ni, “quay-ing” > “to moor”; cf. W. cau, id.
caiunan	mooring	noun		noun
caiuniat	moorer			
eri	to belt	verb		< er “all around”; cf. Gr. peri, id.
eriat	belter			
eran	belt			
erani	to fasten	verb	derivation / compound	eran + -i, “belt-ing” > to tie, to fasten; cf. Ir. ceangail < L. cingulum “girdle”
eraniat	fastener			
eranu	fastening			
pencaiu	mooring post		derivation / compound	pen + caiu, “head-quay”, post for tying ship’s moorings to
dierani	to unfasten	verb		
dieraniat	unfastener			
dieranu	unfastening	noun		noun; disconnection
atanster	analysis		derivation / compound	at(e)- + anster, “again-loose”, loss of /e/ before /a/; cf. L. analysis, id.
atansteri	to analyse	verb		
atansteriat	analyst			
atansteran	analysing	noun		noun
tepi	to jog	verb		
tepiat	jogger			
tepan	jog			
tali	to reinforce	verb		Delamarre 2019, Guerrier Gaulois de Première Ligne
taliat	reinforcer			
talan	reinforcement			
riucun	mercenary (< riocono- “free-wolf/dog”, Delamarre 2019, Guerrier Gaulois de Première Ligne			
talasu	auxiliary			Delamarre 2019, Guerrier Gaulois de Première Ligne
arisu	officer			military; Delamarre 2019, Guerrier Gaulois de Première Ligne
otu	horror			< otucios, Delamarre 2019, Guerrier Gaulois de Première Ligne; 2021, FB post
otuc	horrible			
otucas	horribleness			
otwi	to horrify	verb		
otwiat	horrifier			
otwian	horrification			
otwiac	horrific			
cinac	former		derivation / compound	cin + -ac, “before-like”
cinac	previous			
ranoc	summary		derivation / compound	ran + oc, “part-complete”
ranoci	to summarise	verb		
ranociat	summariser			
ranur	counterpart		derivation / compound	ran + ur, “part-against”
petani	to question	verb		
petaniat	questioner			
petanu	questioning			
drupetani	to interrogate	verb	derivation / compound	dru + petani, “hard/robust-questioning”
drupetaniat	interrogater			
drupetanu	interrogation			
cotamici	to equate	verb		
cotamican	equation			
cotamiciat	equator			
uritue	data			findings, what has been found, e.g. scientifically
uritu	finding			
dicanu	document			“show-thing” < dici “to show”; cf L. docere
bascol	context		derivation / compound	basc- + ol, “weave-all”, everything woven together; cf. L. contextus < con-texere “with-weave”
bascoli	to contextualise	verb		
bascoliat	contextualiser			
bascolan	contextualisation			
co(n)-	with	affix		prefix only
co(n)-	together	affix		prefix only
co(n)-	shared	affix		prefix only
conaged	resemblance		derivation / compound	con + aged, “shared-face”
conagedi	to resemble	verb		
conagediat	resembler			
anatait	animism		derivation / compound	anat + -ait, “soul-ness”; cf. L. animism, id.
anataitac	animistic			
apisan usel	overview			
apisan bitu	worldview			
soconi	to suck	verb		< souconna, river name [Saône], < *sowk-n-o “to suck, to suckle”
soconiat	sucker			
soconan	suck	noun		noun
davian	dichotomy		derivation / compound	da + bian, “two-cut”; cf. Gr/L. dichotomy, id.
davianac	dichotomous			
dercoran	phenomenon			“what is seen”; cf. Gr./L. phenomenon, id.
dercoranac	phenomenal			
dercorangwidait	phenomenology			
dercorangwid	phenomenologist			
ganbis	entity		derivation / compound	gan + bis, “produce-being”; cf. W. hanfod, “produced-be”
dewbis	deity		derivation / compound	dew + bis, “god-being”
briten	vulcano		derivation / compound	bri + ten, “muntain-fire”
britenac	vulcanic			
britenait	vulcanism			study of intrusive and extrusive vulcanic activity and phenomena
tanci	to pacify	verb		
tanciat	pacifier			
tancan	pacification			
cogar	to conciliate	verb	derivation / compound	co + gar, “together-call”; cf. L. concilium < con-calo-ium
cogaru	conciliation			
cogarunac	conciliatory			
cogariat	conciliator			
cogarait	council			
cogaraun	councillor			
cogaraunac	councilliar			
atecogar	to reconcile	verb		
atecogaru	reconciliation			
atecogarunac	reconciliatory			
atecogariat	reconcilliator			
divungar	to affront	verb	derivation / compound	di + bun + gar, “un-base-call’, baseless call; cf. L. in-sol-entia, id.
divungaru	affront			
divungariat	affronter			
divungarac	insolent			
divungaracas	insolence			
reit ardu	bylaw			“law high”
dananac	administrative			
colin dananac	administrative body			
diai en taravan	to come into effect	verb		
ateguti	to revoke	verb	derivation / compound	ate + guti, “re-voice”; cf. L. re-vocare, id.
ategutiat	revoker			
ategutan	revocation			
atemen	to rethink	verb	derivation / compound	ate + men, “again-think”
atemeniat	rethinker			
atemenu	re-thought			
atepeta	to recall	verb	derivation / compound	to ask for something to be returned; ate + peti, “again-ask”
atepetaiat	recaller			one who asks for something to be returned
atepetan	recall			request for something to be returned
anepeti	to annull	verb	derivation / compound	a + nepet, “to-nothing”; cf. L. annullare, id.
anepetiat	annuller			
anepetan	annulment			
cnusit etaran	flying carpet			“carpet-flight”
cnusit	carpet			< cnusitu, “picked”; cf. L. carpita < carpere “to pick, pluck [rough wool]”
clustucait	arsehole-ism			
clustucu	arseholery			
ne sete clustuc	don’t be an arsehole			
camoc	mountain goat			
escambi	to alter	verb	derivation / compound	es + cambi, “out of-bend”, Endlicher’s glossary “cambiare” = Gaul. cambi- + L. ending; < Gaul. cambo- “bend”
escambiat	alterer			
escamban	altering	noun		noun
escambu	alteration			
alcambi	to alternate	verb	derivation / compound	al + cambi, “other-bend”
alcambiat	alternator			
alcamban	alternation			
alcambac	alternate			
alcambid	alternative			
alcambidas	alternativeness			
cambuderc	cock-eyed		derivation / compound	cambu + derc, “bend-look”
cambuderci	to squint	verb		
cambuderciat	squinter			“cockeye”
cambudercan	squint	noun		noun
cambit	wheel rim			cf. Fr. jante, id. < Gaul. cambita
cambu	bend			
cambitu	bent			
cambitunas	bentness			
cambi	to bend	verb		
cambiat	bender			
camban	bending	noun		noun
cambac	bendy			
regucambu	deformation			“straight-bend”
regucambi	to deform	verb		
regucambiat	deformer			
regucamban	deforming	noun		noun
cambutreg	cripple		derivation / compound	“cambu + treg, “bend-leg” < cambotrex, < *cambo-traget, “bent-foot”, g < x, DLG 2003, p. 100
cambutregi	to cripple	verb		
cambutregiat	crippler			
cambutregan	crippling	noun		noun
ducambi	to kink	verb		
ducambiat	kinker			
ducambu	kink			
ducamban	kinking	noun		noun
sucambi	to curve	verb		
sucambu	curve			
sucambiat	curver			
sucamban	curving	noun		noun
sucambac	curvy			
cambon	meander			DLG 2003, p. 100
camboni	to meander	verb		
camboniat	meanderer			
cambonan	meandering	noun		noun
morcambu	bay			< moricambe, DLG 2003, p. 100
cambunem	firmament		derivation / compound	cambu + nem, “bend-sky”, cf. Br. kanevedenn “rainbow”, < *cambo-nemet-
cambutir	horizon		derivation / compound	cambu + tir, “bend-land”
cambac	sinuous			
cambacas	sinuousness			
encam	incursion		derivation / compound	en + cam, “in-step”
encami	to make an incursion	verb		
encamiat	incurser			
cam	step			< Gaul. cammano-
cami	to step	verb		
camiat	stepper			
camu	stepping	noun		noun
caman	road			
caman	way			also figuratively
raicami	to advance	verb		
raicam	advance		derivation / compound	rai + cam, “front-step”
raicamiat	advancer			
garcam	crisis		derivation / compound	gar + cam, “shout-step”; cf. Ir. géarchéim “shout-step”, id.
garcami	to freak out	verb		
garcami	to panic	verb		
garcamiat	panicker			
garcamu	panic			
mencam	degree		derivation / compound	men + cam, “think-step”
mencam	grade			
mencami	to grade	verb		
mencamiat	grader			
mencamu	grading	noun		noun
camgigur	goose-step		derivation / compound	cam + gigur, “step-goose”
camgiguri	to goose-step	verb		
camgiguriat	goose-stepper			
camgiguran	goose-stepping	noun		noun
ducam	failure		derivation / compound	du + cam, “bad-step”, cf. W. camgyryd, “step-take”
ducami	to fail	verb		
ducamiat	failer			
ducamu	flop			
ducamwi	to flop	verb		
ducamwiat	flopper			
ducamwian	flopping	noun		noun
sucam	success			
sucamiat	succeeder			
sucami	to succeed	verb		
sucamu	triumph			
sucamwi	to triumph	verb		
sucamwiat	triumpher			
sucamwian	triumphing	noun		noun
sucamunac	triumphant			
arcam	initiative		derivation / compound	ar + cam, “before-step”
arcami	to take initiative	verb		
arcami	to initiate	verb		to start
arcamiat	initiater			starter of something
arcamac	initial			
arcamu	initiation			beginning
clecami	to tread	verb	derivation / compound	cle + cam, “push-step”; cf. OE tredan “step on, trample, pressure with the foot”
clecam	tread			
clecamiat	treader			
clecamu	treading	noun		noun
Gwertalan Coswaus Arcamac	Initial Consonant Mutation			GCA = ICM
ciumar	menace		derivation / compound	ciu + mar, “cloud-big”
ciumarac	menacing	adjective		adjective
ciumari	to menace	verb		
ciumariat	menacer			
esdiunitu	outdated		derivation / compound	es + diuni, “out-of-dating”
en diun	up to date	verb		“in date”
camaniat	path-walker			“road-er” > walker of path of philosophy; cf. Fr cheminant, e.g. “druid path”
camanu	path-walking			“roading” > discipline of the philosophical path-walker; cf. Fr. cheminance
renfruti	to flush	verb		
renfrut	flush	noun	derivation / compound	noun; ren + frut, “flow-current”
renfrutiat	flusher			
renacuni	to rinse	verb	derivation / compound	ren + acu, “flow-fast”
renacunan	rinse	noun		noun
renacuniat	rinser			
Galatis	Gaulish woman		derivation / compound	Galat + -is, feminine marker
britamlocu	psychedelia		derivation / compound	brit+amlocu, “mind-manifest”; cf. Gr. ψυχή psukhḗ, “mind” + δῆλος dêlos “manifest”
britamlocunac	psychedelic			
lic araun	coat of arms		derivation / compound	lic + araun, “flat-rock-weapon”; cf. W. arfbais “weapon-flat area”
garu argwid	motto		derivation / compound	garu + argwid, “call-sign”; cf. W. arwydd-air, id.
u	of			< uciu “of-this”, ibete uciu “drink of this”, DLG 2003, p. 187
map u bled	son of a wolf			
map u cunis	son of a bitch			
map u benbled	son of a whore			cf. Fr. fils de putte
map u’n mor	son of the sea			
gnat u’n cet	child of forest			
u’n	of the			
a’n	to the	verb		
u sin	of this			
u se	of that			
cantumantaled	versatile			< ca(n)ta-mantalo-edis, “hundred-routes-feet”, DLG 2003, p. 104, 216
cantumantaledas	versatility			
cantu	hundred			
gwelauncantu	centurion		derivation / compound	gwelaun + cantu, “commander-hundred”
canted	surface		derivation / compound	cant(u) + ed, “hundred-feet”, DLG 2003, p. 103
cantedi	to surface	verb		
cantediat	surfacer			
cantedan	surfacing	noun		noun
metar	metre			< Gr. metron; epenthetic /a/, cf. etan < etno, DLG 2003, p. 434
litar	litre			< Gr. litra; epenthetic /a/, cf. etan < etno, DLG 2003, p. 434
metarcantu	centimetre		derivation / compound	metar + cantu, “metre-hundred”
metarwilan	millimetre		derivation / compound	metar + milan, “metre-thousand”
litarcantu	centilitre		derivation / compound	litar + cantu, “litre-hundred”
litarwilan	millilitre		derivation / compound	litar + milan, “litre-thousand”
mesbis	inch		derivation / compound	mes + bis, "measurement-finger"
ricantu	percent		derivation / compound	ri + cantu, “for hundred”; cf. Fr. pourcent, id.
ricantunas	percentage			
aiucantu	century			
gwovion	irony		derivation / compound	gwo + bion, “under-cut”; cf. Gr. eironeia “simulated ignorance”
gwovionac	ironic			
dimolat	disapproval		derivation / compound	di + molat, “dis-praise”; cf. W. anglod, “bad-renown” > “disapproval”
dimola	to disapprove	verb		
dimolaiat	disapprover			
dicu	very early			< dici “to show” > time of display, showtime, time of first light, sunrise
gwogwep	subtext		derivation / compound	gwo + gwep, “under-word”
stantan	statue			“standing-thing”; cf. L. statua, id.
stantanac	statuesque			
gerac	genuine		derivation / compound	ger + -ac, “knee-like”; cf. L. genu- “knee [placement of legitimite child]”
geracas	genuineness			
gwerdiuni	to update	verb		
gwerdiunan	update			
gwerdiuniat	updater			
don nep	someone			
andederci	to review	verb	derivation / compound	ande + derci, “very-look”
andederciat	reviewer			
andedercan	review			
sugwerti	to twirl	verb	derivation / compound	su + gwerti, “good-turning”
sugwertiat	twirler			
sugwertan	twirl			
balanal	brush		derivation / compound	balan + -al, “small broom”
balanali	to brush	verb		
balanaliat	brusher			
balanalan	brushing	noun		noun
dulewi	to slip	verb	derivation / compound	du + lewi, “bad slide”; cf. Ir. duillín, id.
dulewiat	slipper			
dulewian	slip			
frut dulewian	slipstream		derivation / compound	frut + dulewian, “stream-slip”
nascali	to gyrate	verb	derivation / compound	nascal + -i, “to ring [go around in a ring or circle]”; cf. L. gyrus, Gr. gyros, “circle, ring”
nascaliat	ringer			someone who goes around in circles or who describes rings around something
nascalan	ringing	noun		noun
awel susnion	whirlwind		derivation / compound	awel + susnion, “wind-whirl”
brisan	fraction			
brisani	to fraction	verb		
tremor	overseas			
bardis	poetess			
diliauti	to shapeshift	verb	derivation / compound	di + lauthi, “un-shape”
diliautiat	shapeshifter			
diliautan	shapeshifting	noun		noun
cingcerdan	career		derivation / compound	cing + cerdan, “course-work”; cf. soncing, “course of the sun”
mim	meme			
disonac	awake		derivation / compound	di + son + -ac, “un-sleep-like”
disonwar	wakeful			
disonwaras	wakefulness			
aucontrevi	to excommunicate	verb	derivation / compound	au + contrev, "away-from-community"
aucontreviat	excommunicator			
aucontrevan	excommunication			
condatol	compound	noun	derivation / compound	noun; con + datol, “together-putting”; datol secondary noun derivation of dati “to put”
endosa	to embrace	verb	derivation / compound	en + dos, "in-arm"; cf. Fr, embracer
endosaiat	embracer			
endosan	embrace			
cindelgac	continuous			
cangweri	to concur	verb	derivation / compound	can + gweri, “with-happen”; happen at the same time
cangweran	concurrence			
urgweri	to occur	verb	derivation / compound	ur + gweri, “agaisnt-happen”; cf. L. ob-currere, “against-run”
urgweran	occurrence			
cantai	to befall	verb	derivation / compound	to happen by chance; can + tai, "together-touch"; cf. L. contingere
cantaiac	contingent		derivation / compound	can + tai + -ac, "together-touch-like"; cf. L. contingere, id.
cantaitol	contingency		derivation / compound	can + tai + -tol, "together-touch-thing"; cf. L. contingere, id.
cantaid	contiguous		derivation / compound	cantai + -(i)d, “befall-like”, -ii- > -i-
cantaidas	contiguousness			
olanti	to determine	verb	derivation / compound	ol + anti, “all-end”; cf. L. de-terminare, id.
olantu	determination			
olantiat	determinator			
olantitu	determined			
esonac	astute		derivation / compound	intelligent; es + son + -ac, "without-sleep-like"; cf. Gr. έξυπνος, exypnos, id.
eson	aware (es + son, “without-sleep”		derivation / compound	
esonacas	astuteness			
esonas	awareness			
gworegu	control		derivation / compound	gwo + regu, “under-straight”
gworegwi	to control	verb	derivation / compound	gwo + regwi, “under-straight”; cf Gr. υπεύθυνος: "responsible" < Ancient Greek ὑπό, hupó (“under”) + εὐθύνω, euthúnô (“to guide straight, direct; govern; make straight; examine someone's conduct”) < εὐθύς, euthús (straight, direct; straightforward, open, frank)
gworegwiat	controller			
gworegwian	controlling	noun		noun
gworegwitu	controlled			
swereitait	autonomy		derivation / compound	sue + reit + -ait, “self-law-ness”, cf. Gr. auto-nom-ia, id.
swereitac	autonomous			
swereiti	to autonomise	verb		
swereitiat	autonomiser			
swereitan	autonomising	noun		noun
diran	isolation		derivation / compound	di + ran, “un-part”, i.e. not part of anything
dirani	to isolate	verb		
diraniat	isolator			
diranan	isolating	noun		noun
